dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
556,Unsure,2022-06-01,11346,17394,2321,2819,13584.4866190504,20816.4099903063,2777.38007176838,3371.90211453479,10233,12232.085406612974
556,Unsure,2022-07-01,2728,3900,583,789,3253.99988474923,4651.87633500144,695.292255429818,940.951557381797,10170,12174.128937713356
556,Unsure,2022-08-01,183,1275,69,347,221.029054660951,1539.88832668709,83.3221364893992,419.012535675528,10106,12228.87717215483
556,Unsure,2022-09-01,128,1020,52,347,154.991231196943,1234.44345883513,62.9763283822954,419.963262889069,10268,12441.510936960904
556,Unsure,2022-10-01,9195,12373,1031,1193,11402.6316938032,15343.5309914428,1278.35525518167,1479.17397912027,9764,12077.458969297368
557,Unsure,2021-04-01,5805,6894,826,930,6473.81343271252,7690.59445941995,919.284490586394,1035.55702451436,9819,10874.797076944058
557,Unsure,2021-05-01,10598,12551,1211,1355,12390.0250983802,14671.1309626633,1415.51344075438,1584.11931766346,9801,11431.01392920282
557,Unsure,2021-06-01,14181,17074,1207,1294,16738.5142743824,20153.9340106105,1424.52546270006,1527.23699693778,9723,11496.771631213072
557,Unsure,2021-07-01,5735,7871,1089,1295,6832.60197280552,9378.99229583219,1297.63223722703,1543.60390833984,9821,11729.681799422115
557,Unsure,2021-08-01,905,963,238,252,1082.32885596469,1151.7462898289,284.658774679229,301.420171211123,9707,11634.026075050195
557,Unsure,2021-09-01,38,112,14,47,45.6047700476836,134.327562462752,16.8012919988196,56.3540927818329,9688,11635.689239016172
557,Unsure,2021-10-01,2182,3001,516,633,2642.43624817521,3634.62936534949,624.864826445684,766.546232390368,9646,11672.662081340757
557,Unsure,2021-11-01,3480,4792,739,862,4229.72645391491,5824.56020728306,898.029550490079,1047.51743317127,9537,11607.482370011694
