NBA_team,nearest_month,total n,total weighted n,Q1010_total,Q3010_total,Q1030_total,Q1040_total,Q1010_adj_total,Q3010_adj_total,Q1030_adj_total,Q1040_adj_total,Q1010_weighted_total,Q3010_weighted_total,Q1030_weighted_total,Q1040_weighted_total,Q1010_n,Q3010_n,Q1030_n,Q1040_n,Q1010_weighted_n,Q3010_weighted_n,Q1030_weighted_n,Q1040_weighted_n,Q1010,Q3010,Q1030,Q1040,Q1010_adj,Q3010_adj,Q1030_adj,Q1040_adj,Q1010_weighted,Q3010_weighted,Q1030_weighted,Q1040_weighted
Indiana Pacers,5/1/2021,16,14.99,34,27,33,26,3,3,1,2,2.08,1.75,0.25,1.83,14,14,9,14,13.96,13.96,9.84,13.96,2.428571429,1.928571429,3.666666667,1.857142857,0.214285714,0.214285714,0.111111111,0.142857143,0.148997135,0.125358166,0.025406504,0.131088825
New York Knicks/Brooklyn Nets,6/1/2021,59,61.73,141,117,267,75,20,26,14,23,21.36,28.57,12.42,25.12,49,49,37,49,53.31,53.31,38.05,53.31,2.87755102,2.387755102,7.216216216,1.530612245,0.408163265,0.530612245,0.378378378,0.469387755,0.400675295,0.535921966,0.326412615,0.471206153
Phoenix Suns,6/1/2021,21,19.71,43,29,58,28,4,2,3,4,3.13,0.94,2.75,4.65,16,16,10,16,13.15,13.15,8.36,13.15,2.6875,1.8125,5.8,1.75,0.25,0.125,0.3,0.25,0.238022814,0.07148289,0.328947368,0.353612167
Houston Rockets,6/1/2021,18,13.39,45,38,70,29,3,6,4,5,3.52,3.19,2.7,5.23,17,17,10,17,12.14,12.14,7.39,12.14,2.647058824,2.235294118,7,1.705882353,0.176470588,0.352941176,0.4,0.294117647,0.289950577,0.26276771,0.365358593,0.430807249
Los Angeles Lakers/Clippers,6/1/2021,45,71.25,114,79,207,63,11,14,11,13,12.73,20.28,16.22,19.74,38,38,29,38,60.98,60.98,46.69,60.98,3,2.078947368,7.137931034,1.657894737,0.289473684,0.368421053,0.379310345,0.342105263,0.208756969,0.332568055,0.34739773,0.323712693
Cleveland Cavaliers,6/1/2021,25,21.54,53,37,79,33,7,4,5,7,3.21,3.04,2.67,3.26,20,20,12,20,15.17,15.17,10.13,15.17,2.65,1.85,6.583333333,1.65,0.35,0.2,0.416666667,0.35,0.211601846,0.200395517,0.263573544,0.214897825
Portland Trail Blazers,6/1/2021,17,15.77,29,21,35,26,1,1,0,0,1.28,0.9,0,0,13,13,6,13,11.85,11.85,5.32,11.85,2.230769231,1.615384615,5.833333333,2,0.076923077,0.076923077,0,0,0.108016878,0.075949367,0,0
Chicago Bulls,6/1/2021,34,45.35,75,55,107,49,9,7,7,5,15.58,12.3,17.51,15.07,27,27,15,27,37.13,37.13,27.85,37.13,2.777777778,2.037037037,7.133333333,1.814814815,0.333333333,0.259259259,0.466666667,0.185185185,0.419606787,0.331268516,0.628725314,0.405871263
Unsure,6/1/2021,108,89.54,202,157,297,138,22,22,15,20,20.76,24.27,18.03,29.47,79,79,44,79,75.41,75.41,48.18,75.41,2.556962025,1.987341772,6.75,1.746835443,0.278481013,0.278481013,0.340909091,0.253164557,0.275295054,0.321840605,0.374221669,0.390796977
No Team,6/1/2021,107,103.4,225,170,336,148,22,19,15,24,20.16,24.75,17.27,24.81,86,86,48,86,88.77,88.77,50.93,88.77,2.61627907,1.976744186,7,1.720930233,0.255813953,0.220930233,0.3125,0.279069767,0.227103751,0.278810409,0.339092873,0.279486313
Boston Celtics,6/1/2021,36,28.01,69,54,85,56,2,3,3,4,1.73,1.77,2.31,3.3,30,30,13,30,23.38,23.38,15.71,23.38,2.3,1.8,6.538461538,1.866666667,0.066666667,0.1,0.230769231,0.133333333,0.073994867,0.075705731,0.147040102,0.141146279
Miami Heat,6/1/2021,22,19.38,42,31,73,26,5,5,5,6,4.92,4.22,6.76,7.32,16,16,11,16,14.99,14.99,10.4,14.99,2.625,1.9375,6.636363636,1.625,0.3125,0.3125,0.454545455,0.375,0.328218813,0.281521014,0.65,0.48832555
Charlotte Hornets,6/1/2021,37,31.51,72,62,66,51,8,11,2,9,5.02,6.47,1.75,7.57,30,30,14,30,23.77,23.77,13.59,23.77,2.4,2.066666667,4.714285714,1.7,0.266666667,0.366666667,0.142857143,0.3,0.211190576,0.272191838,0.128771155,0.318468658
Minnesota Timberwolves,6/1/2021,9,9.73,19,21,36,14,0,6,2,2,0,7.86,1.21,5.58,8,8,5,8,9.33,9.33,7.41,9.33,2.375,2.625,7.2,1.75,0,0.75,0.4,0.25,0,0.84244373,0.163292848,0.59807074
Utah Jazz,6/1/2021,7,8.84,12,11,17,9,0,1,0,1,0,5,0,0.99,5,5,3,5,7.05,7.05,1.77,7.05,2.4,2.2,5.666666667,1.8,0,0.2,0,0.2,0,0.709219858,0,0.140425532
